order_id,line_no,sku_id,qty,order_time,pick_start,pick_end,check_time,ship_time,loc_id,picker
SO202606010020,1,SKU0196,5,2026-06-01 08:42:57,2026-06-01 09:08:12,2026-06-01 09:09:26,2026-06-01 09:10:13,2026-06-01 09:15:41,L0580,刘艳
SO202606010020,2,SKU0084,5,2026-06-01 08:42:41,2026-06-01 09:18:57,2026-06-01 09:20:33,2026-06-01 09:21:51,2026-06-01 09:59:54,L0736,张瑜
SO202606010021,1,SKU0002,4,2026-06-01 08:43:52,2026-06-01 09:18:03,2026-06-01 09:19:35,2026-06-01 09:21:21,2026-06-01 09:35:04,L0781,张晨
SO202606010021,2,SKU0201,3,2026-06-01 08:43:11,2026-06-01 09:16:15,2026-06-01 09:18:02,2026-06-01 09:18:51,2026-06-01 09:44:11,L0548,唐海燕
SO202606010022,1,SKU0030,5,2026-06-01 08:47:06,2026-06-01 08:57:10,2026-06-01 08:58:36,2026-06-01 08:59:35,2026-06-01 09:32:45,L0510,梁波
SO202606010023,1,SKU0115,2,2026-06-01 08:49:26,2026-06-01 09:25:30,2026-06-01 09:26:31,2026-06-01 09:27:15,2026-06-01 09:48:40,L0306,刘楠
SO202606010024,1,SKU0129,5,2026-06-01 08:49:34,2026-06-01 09:26:52,2026-06-01 09:28:14,2026-06-01 09:29:18,2026-06-01 09:44:02,L0742,张晨
SO202606010024,2,SKU0145,4,2026-06-01 08:49:33,2026-06-01 09:31:13,2026-06-01 09:33:15,2026-06-01 09:34:22,2026-06-01 09:59:23,L0800,魏斌
SO202606010025,1,SKU0206,4,2026-06-01 08:55:39,2026-06-01 09:25:47,2026-06-01 09:27:35,2026-06-01 09:28:36,2026-06-01 09:45:35,L0760,梁波
SO202606010025,2,SKU0468,2,2026-06-01 08:55:49,2026-06-01 09:12:30,2026-06-01 09:13:53,2026-06-01 09:15:00,2026-06-01 09:44:37,L0436,田桂兰
SO202606010026,1,SKU0385,4,2026-06-01 08:56:19,2026-06-01 09:34:50,2026-06-01 09:36:38,2026-06-01 09:38:05,2026-06-01 09:47:28,L0597,刘艳
SO202606010027,1,SKU0351,3,2026-06-01 08:59:17,2026-06-01 09:11:19,2026-06-01 09:12:51,2026-06-01 09:13:45,2026-06-01 09:35:05,L0549,张晨
SO202606010028,1,SKU0145,4,2026-06-01 09:00:15,2026-06-01 09:14:44,2026-06-01 09:16:35,2026-06-01 09:17:59,2026-06-01 09:46:39,L0800,刘艳
SO202606010028,2,SKU0198,1,2026-06-01 09:00:21,2026-06-01 09:33:17,2026-06-01 09:34:44,2026-06-01 09:36:11,2026-06-01 10:20:48,L0478,李英
SO202606010029,1,SKU0249,5,2026-06-01 09:01:35,2026-06-01 09:25:26,2026-06-01 09:27:01,2026-06-01 09:28:14,2026-06-01 09:53:03,L0790,孙桂英
SO202606010030,1,SKU0171,2,2026-06-01 09:01:48,2026-06-01 09:34:27,2026-06-01 09:35:14,2026-06-01 09:36:14,2026-06-01 09:58:16,L0374,魏斌
SO202606010030,2,SKU0343,2,2026-06-01 09:01:24,2026-06-01 09:36:10,2026-06-01 09:37:18,2026-06-01 09:38:59,2026-06-01 10:23:33,L0267,张晨
SO202606010030,3,SKU0438,5,2026-06-01 09:01:25,2026-06-01 09:22:17,2026-06-01 09:24:13,2026-06-01 09:25:14,2026-06-01 10:07:15,L0719,阎玉梅
SO202606010031,1,SKU0257,4,2026-06-01 09:02:54,2026-06-01 09:32:11,2026-06-01 09:33:56,2026-06-01 09:34:38,2026-06-01 10:06:33,L0715,陈云
SO202606010031,2,SKU0222,4,2026-06-01 09:02:20,2026-06-01 09:40:33,2026-06-01 09:41:56,2026-06-01 09:42:46,2026-06-01 10:09:33,L0508,刘楠
SO202606010032,1,SKU0153,4,2026-06-01 09:03:09,2026-06-01 09:38:43,2026-06-01 09:40:20,2026-06-01 09:41:56,2026-06-01 09:57:46,L0713,刘艳
SO202606010032,2,SKU0047,4,2026-06-01 09:03:20,2026-06-01 09:21:26,2026-06-01 09:23:01,2026-06-01 09:23:51,2026-06-01 09:53:48,L0509,刘楠
SO202606010032,3,SKU0438,1,2026-06-01 09:03:02,2026-06-01 09:32:31,2026-06-01 09:34:10,2026-06-01 09:35:16,2026-06-01 10:13:37,L0719,孙桂英
SO202606010033,1,SKU0102,2,2026-06-01 09:08:21,2026-06-01 09:21:56,2026-06-01 09:23:29,2026-06-01 09:24:48,2026-06-01 10:09:04,L0634,刘艳
SO202606010034,1,SKU0142,5,2026-06-01 09:09:53,2026-06-01 09:42:26,2026-06-01 09:43:56,2026-06-01 09:45:08,2026-06-01 09:56:58,L0741,魏斌
SO202606010035,1,SKU0139,5,2026-06-01 09:10:48,2026-06-01 09:39:38,2026-06-01 09:41:03,2026-06-01 09:42:20,2026-06-01 09:58:18,L0662,田桂兰
SO202606010035,2,SKU0280,4,2026-06-01 09:10:53,2026-06-01 09:38:59,2026-06-01 09:40:18,2026-06-01 09:41:19,2026-06-01 10:21:41,L0772,李辉
SO202606010036,1,SKU0317,2,2026-06-01 09:16:18,2026-06-01 09:35:18,2026-06-01 09:36:56,2026-06-01 09:38:14,2026-06-01 10:17:40,L0677,刘艳
SO202606010037,1,SKU0264,4,2026-06-01 09:16:25,2026-06-01 09:50:02,2026-06-01 09:51:37,2026-06-01 09:52:12,2026-06-01 10:25:52,L0592,刘艳
SO202606010038,1,SKU0145,5,2026-06-01 09:18:50,2026-06-01 09:52:35,2026-06-01 09:54:24,2026-06-01 09:55:21,2026-06-01 10:04:30,L0800,李辉
SO202606010039,1,SKU0145,2,2026-06-01 09:18:45,2026-06-01 09:43:29,2026-06-01 09:45:21,2026-06-01 09:46:09,2026-06-01 10:19:24,L0800,刘艳
SO202606010040,1,SKU0205,1,2026-06-01 09:20:11,2026-06-01 09:33:55,2026-06-01 09:35:42,2026-06-01 09:36:48,2026-06-01 10:00:33,L0795,李英
SO202606010041,1,SKU0417,3,2026-06-01 09:27:50,2026-06-01 09:51:48,2026-06-01 09:53:12,2026-06-01 09:54:02,2026-06-01 10:13:53,L0550,黄成
SO202606010042,1,SKU0477,2,2026-06-01 09:28:06,2026-06-01 10:04:59,2026-06-01 10:05:35,2026-06-01 10:06:45,2026-06-01 10:21:47,L0321,李英
SO202606010043,1,SKU0009,2,2026-06-01 09:30:15,2026-06-01 09:57:46,2026-06-01 09:58:52,2026-06-01 09:59:44,2026-06-01 10:17:27,L0230,樊桂芳
SO202606010043,2,SKU0332,5,2026-06-01 09:30:31,2026-06-01 10:06:57,2026-06-01 10:08:41,2026-06-01 10:09:44,2026-06-01 10:36:10,L0759,唐海燕
SO202606010044,1,SKU0441,3,2026-06-01 09:31:39,2026-06-01 09:50:29,2026-06-01 09:51:57,2026-06-01 09:52:42,2026-06-01 10:04:10,L0633,孙桂英
SO202606010045,1,SKU0332,3,2026-06-01 09:32:47,2026-06-01 09:53:05,2026-06-01 09:54:55,2026-06-01 09:56:00,2026-06-01 10:21:22,L0759,魏斌
SO202606010045,2,SKU0027,3,2026-06-01 09:32:44,2026-06-01 09:49:34,2026-06-01 09:51:07,2026-06-01 09:52:34,2026-06-01 09:59:30,L0558,张晨
SO202606010046,1,SKU0385,2,2026-06-01 09:34:17,2026-06-01 09:54:34,2026-06-01 09:56:08,2026-06-01 09:57:07,2026-06-01 10:18:32,L0597,叶华
SO202606010046,2,SKU0045,1,2026-06-01 09:34:21,2026-06-01 09:53:26,2026-06-01 09:54:57,2026-06-01 09:56:17,2026-06-01 10:39:41,L0668,张晨
SO202606010047,1,SKU0145,4,2026-06-01 09:35:43,2026-06-01 10:01:53,2026-06-01 10:03:43,2026-06-01 10:04:47,2026-06-01 10:39:21,L0800,魏斌
SO202606010047,2,SKU0145,1,2026-06-01 09:35:56,2026-06-01 10:00:35,2026-06-01 10:02:19,2026-06-01 10:03:14,2026-06-01 10:10:59,L0800,万帅
SO202606010048,1,SKU0033,4,2026-06-01 09:35:52,2026-06-01 10:10:56,2026-06-01 10:13:01,2026-06-01 10:13:59,2026-06-01 10:46:30,L0797,刘楠
SO202606010048,2,SKU0289,4,2026-06-01 09:35:58,2026-06-01 10:00:40,2026-06-01 10:01:15,2026-06-01 10:02:14,2026-06-01 10:15:04,L0083,何丽
SO202606010048,3,SKU0036,5,2026-06-01 09:35:40,2026-06-01 09:56:42,2026-06-01 09:58:17,2026-06-01 09:59:40,2026-06-01 10:23:38,L0624,刘艳
SO202606010049,1,SKU0123,5,2026-06-01 09:36:29,2026-06-01 09:49:01,2026-06-01 09:50:36,2026-06-01 09:51:29,2026-06-01 10:08:15,L0560,黄利
SO202606010049,2,SKU0214,1,2026-06-01 09:36:46,2026-06-01 09:59:29,2026-06-01 10:01:07,2026-06-01 10:02:56,2026-06-01 10:45:18,L0676,姜琳
SO202606010049,3,SKU0354,1,2026-06-01 09:36:04,2026-06-01 10:18:36,2026-06-01 10:19:58,2026-06-01 10:21:17,2026-06-01 10:28:27,L0476,何丽
SO202606010050,1,SKU0153,5,2026-06-01 09:46:56,2026-06-01 10:15:43,2026-06-01 10:17:25,2026-06-01 10:18:28,2026-06-01 10:58:42,L0713,何丽
SO202606010051,1,SKU0061,3,2026-06-01 09:47:55,2026-06-01 10:16:31,2026-06-01 10:18:10,2026-06-01 10:20:07,2026-06-01 10:53:10,L0714,刘艳
SO202606010052,1,SKU0145,1,2026-06-01 09:47:30,2026-06-01 10:23:15,2026-06-01 10:25:02,2026-06-01 10:25:56,2026-06-01 10:45:27,L0800,黄利
SO202606010052,2,SKU0208,4,2026-06-01 09:47:31,2026-06-01 10:09:35,2026-06-01 10:10:52,2026-06-01 10:12:16,2026-06-01 10:52:28,L0540,黄利
SO202606010053,1,SKU0101,5,2026-06-01 09:51:31,2026-06-01 10:15:38,2026-06-01 10:16:57,2026-06-01 10:17:54,2026-06-01 10:39:10,L0316,阎玉梅
SO202606010053,2,SKU0389,1,2026-06-01 09:51:08,2026-06-01 10:08:28,2026-06-01 10:10:06,2026-06-01 10:11:17,2026-06-01 10:44:13,L0477,魏斌
SO202606010054,1,SKU0429,3,2026-06-01 09:52:12,2026-06-01 10:08:46,2026-06-01 10:10:31,2026-06-01 10:11:13,2026-06-01 10:47:44,L0755,何丽
SO202606010055,1,SKU0429,2,2026-06-01 09:53:43,2026-06-01 10:14:51,2026-06-01 10:16:26,2026-06-01 10:17:58,2026-06-01 10:34:25,L0755,魏斌
SO202606010055,2,SKU0170,5,2026-06-01 09:53:01,2026-06-01 10:29:25,2026-06-01 10:30:18,2026-06-01 10:31:19,2026-06-01 10:39:13,L0224,张瑜
SO202606010055,3,SKU0145,4,2026-06-01 09:53:41,2026-06-01 10:37:52,2026-06-01 10:40:06,2026-06-01 10:41:18,2026-06-01 11:21:02,L0800,魏斌
SO202606010056,1,SKU0108,2,2026-06-01 09:54:18,2026-06-01 10:13:31,2026-06-01 10:15:04,2026-06-01 10:16:44,2026-06-01 10:30:59,L0786,张瑜
SO202606010056,2,SKU0284,5,2026-06-01 09:54:08,2026-06-01 10:21:11,2026-06-01 10:22:48,2026-06-01 10:23:27,2026-06-01 11:05:43,L0518,陈云
SO202606010056,3,SKU0276,5,2026-06-01 09:54:35,2026-06-01 10:36:07,2026-06-01 10:37:08,2026-06-01 10:38:55,2026-06-01 10:56:31,L0034,李辉
SO202606010057,1,SKU0183,1,2026-06-01 09:54:16,2026-06-01 10:27:40,2026-06-01 10:28:21,2026-06-01 10:29:31,2026-06-01 10:51:06,L0129,唐海燕
SO202606010057,2,SKU0314,2,2026-06-01 09:54:26,2026-06-01 10:28:41,2026-06-01 10:29:37,2026-06-01 10:31:02,2026-06-01 10:53:15,L0570,李英
SO202606010057,3,SKU0095,5,2026-06-01 09:54:51,2026-06-01 10:26:53,2026-06-01 10:28:13,2026-06-01 10:29:20,2026-06-01 10:53:03,L0535,田桂兰
SO202606010058,1,SKU0036,1,2026-06-01 09:56:41,2026-06-01 10:16:55,2026-06-01 10:18:23,2026-06-01 10:19:52,2026-06-01 11:03:22,L0624,田桂兰
SO202606010059,1,SKU0421,5,2026-06-01 09:56:58,2026-06-01 10:28:40,2026-06-01 10:30:24,2026-06-01 10:31:59,2026-06-01 10:46:47,L0791,万帅
SO202606010059,2,SKU0459,2,2026-06-01 09:56:23,2026-06-01 10:13:10,2026-06-01 10:14:54,2026-06-01 10:15:56,2026-06-01 10:45:16,L0716,姜琳
SO202606010060,1,SKU0206,1,2026-06-01 09:56:24,2026-06-01 10:22:42,2026-06-01 10:24:29,2026-06-01 10:25:51,2026-06-01 10:42:37,L0760,陈云
SO202606010061,1,SKU0407,4,2026-06-01 09:57:41,2026-06-01 10:09:30,2026-06-01 10:11:13,2026-06-01 10:13:10,2026-06-01 10:23:24,L0758,刘楠
SO202606010062,1,SKU0430,3,2026-06-01 09:59:08,2026-06-01 10:27:50,2026-06-01 10:28:58,2026-06-01 10:30:22,2026-06-01 10:46:55,L0685,黄利
SO202606010063,1,SKU0101,1,2026-06-01 10:00:51,2026-06-01 10:27:54,2026-06-01 10:29:11,2026-06-01 10:30:56,2026-06-01 10:58:02,L0316,梁波
SO202606010064,1,SKU0062,1,2026-06-01 10:00:21,2026-06-01 10:12:09,2026-06-01 10:13:01,2026-06-01 10:14:23,2026-06-01 10:43:40,L0144,梁波
SO202606010064,2,SKU0066,3,2026-06-01 10:00:28,2026-06-01 10:26:45,2026-06-01 10:27:42,2026-06-01 10:28:42,2026-06-01 10:44:15,L0525,张晨
SO202606010064,3,SKU0312,5,2026-06-01 10:00:30,2026-06-01 10:23:47,2026-06-01 10:25:08,2026-06-01 10:26:38,2026-06-01 11:11:07,L0661,刘楠
SO202606010065,1,SKU0480,2,2026-06-01 10:01:04,2026-06-01 10:35:01,2026-06-01 10:36:49,2026-06-01 10:38:07,2026-06-01 10:57:37,L0789,樊桂芳
SO202606010065,2,SKU0407,4,2026-06-01 10:01:18,2026-06-01 10:43:50,2026-06-01 10:45:39,2026-06-01 10:46:18,2026-06-01 11:24:35,L0758,万帅
SO202606010066,1,SKU0332,4,2026-06-01 10:02:08,2026-06-01 10:21:34,2026-06-01 10:23:29,2026-06-01 10:24:20,2026-06-01 10:30:44,L0759,叶华
SO202606010066,2,SKU0025,1,2026-06-01 10:02:36,2026-06-01 10:18:17,2026-06-01 10:20:00,2026-06-01 10:20:56,2026-06-01 10:53:45,L0718,樊桂芳
SO202606010067,1,SKU0199,1,2026-06-01 10:03:42,2026-06-01 10:40:38,2026-06-01 10:42:15,2026-06-01 10:43:37,2026-06-01 11:00:46,L0594,姜琳
SO202606010068,1,SKU0449,2,2026-06-01 10:05:00,2026-06-01 10:40:20,2026-06-01 10:40:57,2026-06-01 10:42:23,2026-06-01 11:08:52,L0283,樊桂芳
SO202606010068,2,SKU0192,1,2026-06-01 10:05:00,2026-06-01 10:40:58,2026-06-01 10:42:22,2026-06-01 10:43:51,2026-06-01 11:22:19,L0475,刘楠
SO202606010068,3,SKU0398,3,2026-06-01 10:05:48,2026-06-01 10:32:28,2026-06-01 10:34:11,2026-06-01 10:34:54,2026-06-01 11:08:54,L0595,张瑜
SO202606010069,1,SKU0455,2,2026-06-01 10:06:20,2026-06-01 10:18:43,2026-06-01 10:20:18,2026-06-01 10:21:02,2026-06-01 10:40:25,L0639,何丽
SO202606010069,2,SKU0459,3,2026-06-01 10:06:50,2026-06-01 10:48:33,2026-06-01 10:50:15,2026-06-01 10:51:13,2026-06-01 11:25:31,L0716,樊桂芳
SO202606010069,3,SKU0284,1,2026-06-01 10:06:39,2026-06-01 10:35:34,2026-06-01 10:37:02,2026-06-01 10:38:21,2026-06-01 10:59:54,L0518,黄利
SO202606010070,1,SKU0061,3,2026-06-01 10:10:47,2026-06-01 10:31:29,2026-06-01 10:33:12,2026-06-01 10:34:43,2026-06-01 10:42:15,L0714,刘艳
SO202606010070,2,SKU0438,3,2026-06-01 10:10:23,2026-06-01 10:49:09,2026-06-01 10:50:58,2026-06-01 10:52:31,2026-06-01 11:24:09,L0719,叶华
SO202606010071,1,SKU0033,5,2026-06-01 10:14:18,2026-06-01 10:44:25,2026-06-01 10:46:17,2026-06-01 10:47:11,2026-06-01 11:29:39,L0797,刘楠
SO202606010072,1,SKU0495,5,2026-06-01 10:16:43,2026-06-01 10:27:58,2026-06-01 10:29:43,2026-06-01 10:31:07,2026-06-01 10:39:28,L0794,叶华
SO202606010073,1,SKU0325,3,2026-06-01 10:16:37,2026-06-01 10:55:22,2026-06-01 10:56:05,2026-06-01 10:57:21,2026-06-01 11:29:52,L0364,刘楠
SO202606010073,2,SKU0123,2,2026-06-01 10:16:34,2026-06-01 10:48:31,2026-06-01 10:50:10,2026-06-01 10:51:50,2026-06-01 11:30:25,L0560,刘艳
SO202606010074,1,SKU0199,2,2026-06-01 10:20:21,2026-06-01 10:36:00,2026-06-01 10:37:31,2026-06-01 10:38:56,2026-06-01 11:07:48,L0594,黄利
SO202606010074,2,SKU0011,1,2026-06-01 10:20:36,2026-06-01 10:33:46,2026-06-01 10:35:26,2026-06-01 10:36:36,2026-06-01 11:01:00,L0596,叶华
SO202606010075,1,SKU0033,2,2026-06-01 10:20:23,2026-06-01 10:46:57,2026-06-01 10:48:49,2026-06-01 10:50:15,2026-06-01 11:04:44,L0797,孙桂英
SO202606010075,2,SKU0011,4,2026-06-01 10:20:53,2026-06-01 10:53:47,2026-06-01 10:55:24,2026-06-01 10:56:22,2026-06-01 11:09:08,L0596,李英
SO202606010075,3,SKU0145,3,2026-06-01 10:20:42,2026-06-01 10:41:16,2026-06-01 10:43:02,2026-06-01 10:44:28,2026-06-01 11:05:19,L0800,李辉
SO202606010076,1,SKU0076,4,2026-06-01 10:22:23,2026-06-01 10:48:44,2026-06-01 10:50:30,2026-06-01 10:51:55,2026-06-01 11:22:34,L0680,樊桂芳
SO202606010077,1,SKU0145,1,2026-06-01 10:22:50,2026-06-01 10:45:47,2026-06-01 10:47:41,2026-06-01 10:49:13,2026-06-01 11:06:49,L0800,李英
SO202606010078,1,SKU0047,1,2026-06-01 10:28:04,2026-06-01 10:51:12,2026-06-01 10:52:30,2026-06-01 10:53:26,2026-06-01 11:17:58,L0509,梁波
SO202606010079,1,SKU0106,5,2026-06-01 10:30:49,2026-06-01 11:10:04,2026-06-01 11:11:42,2026-06-01 11:13:13,2026-06-01 11:42:13,L0632,张晨
SO202606010080,1,SKU0206,1,2026-06-01 10:30:24,2026-06-01 10:49:17,2026-06-01 10:51:04,2026-06-01 10:51:56,2026-06-01 11:05:20,L0760,黄成
SO202606010080,2,SKU0052,5,2026-06-01 10:30:13,2026-06-01 11:11:28,2026-06-01 11:13:16,2026-06-01 11:14:41,2026-06-01 11:49:20,L0793,刘艳
SO202606010081,1,SKU0350,2,2026-06-01 10:34:49,2026-06-01 10:55:09,2026-06-01 10:56:49,2026-06-01 10:58:30,2026-06-01 11:28:39,L0593,刘艳
SO202606010081,2,SKU0316,5,2026-06-01 10:34:39,2026-06-01 10:53:26,2026-06-01 10:55:02,2026-06-01 10:55:42,2026-06-01 11:24:23,L0590,黄成
SO202606010082,1,SKU0456,2,2026-06-01 10:35:04,2026-06-01 10:49:38,2026-06-01 10:51:04,2026-06-01 10:52:19,2026-06-01 11:16:27,L0517,刘楠
SO202606010082,2,SKU0394,1,2026-06-01 10:35:16,2026-06-01 11:17:55,2026-06-01 11:19:06,2026-06-01 11:20:24,2026-06-01 11:39:59,L0545,李英
SO202606010082,3,SKU0201,4,2026-06-01 10:35:27,2026-06-01 10:52:25,2026-06-01 10:53:52,2026-06-01 10:55:20,2026-06-01 11:22:17,L0548,叶华
SO202606010083,1,SKU0033,3,2026-06-01 10:36:37,2026-06-01 10:53:11,2026-06-01 10:55:09,2026-06-01 10:55:56,2026-06-01 11:31:33,L0797,魏斌
SO202606010084,1,SKU0232,3,2026-06-01 10:37:48,2026-06-01 10:58:01,2026-06-01 10:59:25,2026-06-01 11:01:03,2026-06-01 11:34:18,L0630,万帅
SO202606010085,1,SKU0495,5,2026-06-01 10:37:22,2026-06-01 11:07:04,2026-06-01 11:08:51,2026-06-01 11:10:45,2026-06-01 11:45:16,L0794,李辉
SO202606010085,2,SKU0047,5,2026-06-01 10:37:48,2026-06-01 11:02:53,2026-06-01 11:04:42,2026-06-01 11:06:00,2026-06-01 11:19:23,L0509,樊桂芳
SO202606010086,1,SKU0489,2,2026-06-01 10:37:47,2026-06-01 10:48:24,2026-06-01 10:49:33,2026-06-01 10:50:38,2026-06-01 11:26:49,L0729,张晨
SO202606010086,2,SKU0332,4,2026-06-01 10:37:22,2026-06-01 11:05:20,2026-06-01 11:07:36,2026-06-01 11:08:51,2026-06-01 11:27:16,L0759,田桂兰
SO202606010087,1,SKU0440,1,2026-06-01 10:37:56,2026-06-01 11:14:28,2026-06-01 11:15:42,2026-06-01 11:16:24,2026-06-01 11:30:44,L0697,唐海燕
SO202606010087,2,SKU0168,2,2026-06-01 10:37:56,2026-06-01 11:19:49,2026-06-01 11:21:28,2026-06-01 11:22:52,2026-06-01 11:32:43,L0792,张瑜
SO202606010088,1,SKU0429,4,2026-06-01 10:38:17,2026-06-01 11:18:02,2026-06-01 11:19:44,2026-06-01 11:20:28,2026-06-01 11:58:41,L0755,刘楠
SO202606010088,2,SKU0338,1,2026-06-01 10:38:33,2026-06-01 11:03:06,2026-06-01 11:04:24,2026-06-01 11:05:24,2026-06-01 11:35:20,L0625,万帅
SO202606010088,3,SKU0407,2,2026-06-01 10:38:52,2026-06-01 10:57:38,2026-06-01 10:59:19,2026-06-01 11:00:08,2026-06-01 11:38:48,L0758,张瑜
